catalogNumber,fieldNumber,eventID,eventID,otherCatalogNumbers,institutionCode,individualCount,basisOfRecord,preparations,imageLocation,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,eventRemarks,identificationQualifier,identifiedBy,identificationRemarks,waterBody,verbatimLocality,recordedBy,samplingProtocol,continent,countryCode,country,stateProvince,decimalLatitude,decimalLongitude,eventDate
091-KIL03-05-19,TZ114,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,DSC00591,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,tanzaniae,"Brewster, 1986",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
092-KIL03-05-19,TZ115,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,DSC00591,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,tanzaniae,"Brewster, 1986",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
093-KIL03-05-19,TZ116,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,affinis,"(Günther, 1894)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
094-KIL03-05-19,TZ117,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,affinis,"(Günther, 1894)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
095-KIL03-05-19,TZ118,TAFIRI-2019.05.21-RUF03-A,TAFIRI-2019.05.21-KIL03-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,imberi,"(Peters, 1852)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.17793,36.69433,2019-05-21
096-KIL02-05-19,TZ119,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,vittatus,"Castelnau, 1861",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
097-KIL02-05-19,TZ120,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,DSC00622,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,imberi,"(Peters, 1852)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
098-KIL02-05-19,TZ121,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,DSC00626,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Distichodus,petersii,"Pfeffer, 1896",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
099-KIL02-05-19,TZ122,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,DSC00627,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,paludinosus,"(Peters, 1852)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
100-KIL02-05-19,TZ123,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,gigliolii,"(Pfeffer, 1896)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
101-KIL02-05-19,TZ124,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,DSC00630,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,affinis,"(Günther, 1894)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
102-KIL02-05-19,TZ125,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
103-KIL02-05-19,TZ126,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,DSC00633,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
104-KIL02-05-19,TZ127,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,DSC00637,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,gigliolii,"(Pfeffer, 1896)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
105-KIL02-05-19,TZ128,TAFIRI-2019.05.21-RUF02-A,TAFIRI-2019.05.21-KIL02-A,,,1,PreservedSpecimen,EtOH,DSC00639,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Ctenopoma,muriei,"(Boulenger, 1906)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-8.18884,36.69289,2019-05-22
106-KIL07-05-19,TZ129,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
107-KIL07-05-19,TZ130,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00643,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
108-KIL07-05-19,TZ131,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
109-KIL07-05-19,TZ132,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
110-KIL07-05-19,TZ133,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00647,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
111-KIL07-05-19,TZ134,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
112-KIL07-05-19,TZ135,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
113-KIL07-05-19,TZ136,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00651,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
114-KIL07-05-19,TZ137,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00652,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
115-KIL07-05-19,TZ138,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00653,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
116-KIL07-05-19,TZ139,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,gigliolii,"(Pfeffer, 1896)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
117-KIL07-05-19,TZ140,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00659,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,imberi,"(Peters, 1852)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
118-KIL07-05-19,TZ141,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00660,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,imberi,"(Peters, 1852)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
119-KIL07-05-19,TZ142,TAFIRI-2019.05.22-RUF05-A,TAFIRI-2019.05.22-KIL07-A,,,1,PreservedSpecimen,EtOH,DSC00662,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,"(Burchell, 1822)",,,Rupert Collins; Martin Genner,,Kilombero River,"Ifakara, Lumemo River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.13953,36.67393,2019-05-22
120-KIL11-05-19,TZ143,TAFIRI-2019.05.23-RUF08-A,TAFIRI-2019.05.23-KIL11-A,,,1,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Alestes,stuhlmannii,"Pfeffer, 1896",,,Rupert Collins; Martin Genner,,Great Ruaha River,"Kidatu, bridge over the Ruaha",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, fish market",Africa,TZ,Tanzania,Morogoro Region,-7.6658,36.97702,2019-05-23
121-MG10-05-19,TZ157,TAFIRI-2019.05.20-MG10-A,TAFIRI-2019.05.20-MG10-A,,,1,PreservedSpecimen,EtOH,P5200080,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,theodorae,"Weber, 1897",,,Rupert Collins; Martin Genner,,Great Ruaha River,"Kidatu, Mangula B, School, Mr Ahmed fish pond",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,-7.84118,36.8921,2019-05-20
122-KIL08-05-19,TZ158,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,1,PreservedSpecimen,EtOH,,Other material,genus,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannaethiops,,,,sp. ‘kilombero’,Rupert Collins; Martin Genner,new species,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
123-KIL08-05-19,TZ159,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,1,PreservedSpecimen,EtOH,,Other material,genus,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannaethiops,,,,sp. ‘kilombero’,Rupert Collins; Martin Genner,new species,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
124-KIL08-05-19,TZ160,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,1,PreservedSpecimen,EtOH,,Other material,genus,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannaethiops,,,,sp. ‘kilombero’,Rupert Collins; Martin Genner,new species,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
125-KIL09-05-19,TZ161,TAFIRI-2019.05.23-RUF06-A,TAFIRI-2019.05.23-KIL09-A,,,1,PreservedSpecimen,EtOH,,Other material,genus,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannaethiops,,,,sp. ‘kilombero’,Rupert Collins; Martin Genner,new species,Kilombero River,"Ifakara, Kikwawila(?) River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-8.08345,36.7101,2019-05-23
126-KIL09-05-19,TZ162,TAFIRI-2019.05.23-RUF06-A,TAFIRI-2019.05.23-KIL09-A,,,1,PreservedSpecimen,EtOH,,Other material,genus,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannaethiops,,,,sp. ‘kilombero’,Rupert Collins; Martin Genner,new species,Kilombero River,"Ifakara, Kikwawila(?) River",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-8.08345,36.7101,2019-05-23
031-S8-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,"(Boulenger, 1903)",,,Martin Genner,,,,,,,,,,,,
034-S8-09-12,,,,,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,,,,sp. ‘ruaha stripe’,Martin Genner,,,,,,,,,,,,
035-S8-09-12,,,,,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,,,,sp. ‘ruaha stripe’,Martin Genner,,,,,,,,,,,,
036-S8-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,"(Boulenger, 1903)",,,Martin Genner,,,,,,,,,,,,
037-S8-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,"(Boulenger, 1903)",,,Martin Genner,,,,,,,,,,,,
038-S8-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,"(Peters, 1868)",,,Martin Genner,,,,,,,,,,,,
039-S8-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,"(Peters, 1868)",,,Martin Genner,,,,,,,,,,,,
041-S8-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,ruaha,"Seegers, 1995",,,Martin Genner,,,,,,,,,,,,
042-S8-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,ruaha,"Seegers, 1995",,,Martin Genner,,,,,,,,,,,,
