catalogNumber,fieldNumber,eventID,eventID,otherCatalogNumbers,institutionCode,individualCount,basisOfRecord,preparations,imageLocation,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,eventRemarks,identificationQualifier,identifiedBy,identificationRemarks,waterBody,verbatimLocality,recordedBy,samplingProtocol,continent,countryCode,country,stateProvince,decimalLatitude,decimalLongitude,eventDate
043-S8-09-12,,,,,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,,,,sp. ‘ruaha 1’,Martin Genner,,,,,,,,,,,,
044-S8-09-12,,,,,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,,,,sp. ‘ruaha 1’,Martin Genner,,,,,,,,,,,,
045-S9-09-12,,,,,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Zaireichthys,,,,sp. ‘ruaha’,Martin Genner,,,,,,,,,,,,
047-S9-09-12,,,,,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Zaireichthys,,,,sp. ‘ruaha’,Martin Genner,,,,,,,,,,,,
051-S9-09-12,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,ruaha,"Seegers, 1995",,,Martin Genner,,,,,,,,,,,,
128-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Eleotridae,Eleotris,klunzingerii,"Pfeffer, 1893",,,Martin Genner,,,,,,,,,,,,
131-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Citharinidae,Citharinus,congicus,"Boulenger, 1897",,,Martin Genner,,,,,,,,,,,,
132-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Citharinidae,Citharinus,congicus,"Boulenger, 1897",,,Martin Genner,,,,,,,,,,,,
133-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,affinis,"(Günther, 1894)",,,Martin Genner,,,,,,,,,,,,
134-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,affinis,"(Günther, 1894)",,,Martin Genner,,,,,,,,,,,,
135-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Schilbeidae,Pareutropius,longifilis,"(Steindachner, 1914)",,,Martin Genner,,,,,,,,,,,,
136-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Schilbeidae,Pareutropius,longifilis,"(Steindachner, 1914)",,,Martin Genner,,,,,,,,,,,,
137-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,cylindricus,"Peters, 1852",,,Martin Genner,,,,,,,,,,,,
138-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,cylindricus,"Peters, 1852",,,Martin Genner,,,,,,,,,,,,
139-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Alestes,stuhlmannii,"Pfeffer, 1896",,,Martin Genner,,,,,,,,,,,,
140-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Alestes,stuhlmannii,"Pfeffer, 1896",,,Martin Genner,,,,,,,,,,,,
141-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,rukwaensis,"Hilgendorf & Pappenheim, 1903",,,Martin Genner,,,,,,,,,,,,
143-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Glossogobius,giuris,"(Hamilton, 1822)",,,Martin Genner,,,,,,,,,,,,
144-S22-08-13,,,,,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Synodontis,,,,sp. ‘utete’,Martin Genner,,,,,,,,,,,,
145-S22-08-13,,,,,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,vittatus,"Castelnau, 1861",,,Martin Genner,,,,,,,,,,,,
146-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,genus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,,,,sp. ‘kilombero’,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
147-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,genus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,,,,sp. ‘kilombero’,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
148-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,urolepis,"(Norman, 1922)",,,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
150-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Procatopodidae,Lacustricola,kongoranensis,"(Ahl, 1924)",,,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
151-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,macrotaenia,"(Worthington, 1933)",,,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
153-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hemigrammopetersius,barnardi,"(Herre, 1936)",,,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
154-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hemigrammopetersius,barnardi,"(Herre, 1936)",,,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
156-KIL08-19,,TAFIRI-2019.05.22-RUF03-B,TAFIRI-2019.05.22-KIL08-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,apleurogramma,"(Boulenger, 1911)",,,Martin Genner,,Kilombero River,"Ifakara, culvert on road approaching Magufuli Bridge",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,"Purchased, local fishermen",Africa,TZ,Tanzania,Morogoro Region,-8.174,36.69369,2019-05-22
157-KIL10-19,,TAFIRI-2019.05.23-RUF07-A,TAFIRI-2019.05.23-KIL10-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,lateralis,"(Boulenger, 1900)",,,Martin Genner,,Kilombero River,"Kisawasa, Udzungwa mountain stream on Kidatu-Ifakara road",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-7.8942,36.87226,2019-05-23
158-KIL10-19,,TAFIRI-2019.05.23-RUF07-A,TAFIRI-2019.05.23-KIL10-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,frenatus,"Boulenger, 1901",,,Martin Genner,,Kilombero River,"Kisawasa, Udzungwa mountain stream on Kidatu-Ifakara road",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-7.8942,36.87226,2019-05-23
159-KIL10-19,,TAFIRI-2019.05.23-RUF07-A,TAFIRI-2019.05.23-KIL10-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,cylindricus,"Peters, 1852",,,Martin Genner,,Kilombero River,"Kisawasa, Udzungwa mountain stream on Kidatu-Ifakara road",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-7.8942,36.87226,2019-05-23
160-KIL10-19,,TAFIRI-2019.05.23-RUF07-A,TAFIRI-2019.05.23-KIL10-A,,,,PreservedSpecimen,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,"(Peters, 1868)",,,Martin Genner,,Kilombero River,"Kisawasa, Udzungwa mountain stream on Kidatu-Ifakara road",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Hand net,Africa,TZ,Tanzania,Morogoro Region,-7.8942,36.87226,2019-05-23
,,,,EF32210297,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hemigrammopetersius,barnardi,"(Herre, 1936)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210298,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hemigrammopetersius,barnardi,"(Herre, 1936)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210299,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,,,,cf. livingstonii,Martin Genner,,,,,,,,,,,,
,,,,EF32210300,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,castelnaui,"(Boulenger, 1911)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210301,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,radiatus,"(Peters, 1853)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210304,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,affinis,"(Günther, 1894)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210307,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,"(Peters, 1868)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210308,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,,,,sp. ‘kilombero stripe’,Martin Genner,,,,,,,,,,,,
,,,,EF32210309,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,,,,sp. ‘kilombero stripe’,Martin Genner,,,,,,,,,,,,
,,,,EF32210310,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Schilbeidae,Pareutropius,longifilis,"(Steindachner, 1914)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210311,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Schilbeidae,Pareutropius,longifilis,"(Steindachner, 1914)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210312,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,macrotaenia,"(Worthington, 1933)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210313,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,macrotaenia,"(Worthington, 1933)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210315,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannaethiops,,,,sp. ‘kilombero’,Martin Genner,,,,,,,,,,,,
,,,,EF32210316,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,macrotaenia,"(Worthington, 1933)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210317,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,macrotaenia,"(Worthington, 1933)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210318,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hemigrammopetersius,barnardi,"(Herre, 1936)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210319,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hemigrammopetersius,barnardi,"(Herre, 1936)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210320,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,"(Peters, 1868)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210321,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,"(Peters, 1868)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210322,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,"(Boulenger, 1903)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210323,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,"(Boulenger, 1903)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210325,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,radiatus,"(Peters, 1853)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32210326,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Chiloglanis,,,,sp. ‘ruaha’,Martin Genner,,,,,,,,,,,,
,,,,EF32210327,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,,,,sp. ‘ruaha 2’,Martin Genner,,,,,,,,,,,,
,,,,EF32210328,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,,,,sp. ‘ruaha 2’,Martin Genner,,,,,,,,,,,,
,,,,EF32210329,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Zaireichthys,,,,sp. ‘ruaha’,Martin Genner,,,,,,,,,,,,
,,,,EF32210330,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Zaireichthys,,,,sp. ‘ruaha’,Martin Genner,,,,,,,,,,,,
,,,,EF32658376,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,catostoma,"(Günther, 1866)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658377,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,castelnaui,"(Boulenger, 1911)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658381,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,kerstenii,"(Peters, 1868)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658382,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Chiloglanis,,,,sp. ‘ruaha’,Martin Genner,,,,,,,,,,,,
,,,,EF32658383,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,lineomaculatus,"(Boulenger, 1903)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658384,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Atopochilus,vogti,"Pellegrin, 1922",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658385,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Nothobranchius,kilomberoensis,"Wildekamp, Watters & Sainthouse, 2002",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658386,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Nothobranchius,kilomberoensis,"Wildekamp, Watters & Sainthouse, 2002",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658388,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,theodorae,"Weber, 1897",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658389,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,macrolepidotus,"(Peters, 1852)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658390,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,"(Burchell, 1822)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658391,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,"(Burchell, 1822)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658396,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Coptodon,rendalli,"(Boulenger, 1897)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658399,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Bagridae,Bagrus,orientalis,"Boulenger, 1902",,,Martin Genner,,,,,,,,,,,,
,,,,ERX1868693,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,gigliolii,,,,Martin Genner,,,,,,,,,,,,
,,,,ERX3627798,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,,,,sp. ‘ruaha blue’,Martin Genner,,,,,,,,,,,,
,,,,ERX3627799,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Haplochromis,vanheusdeni,"Schedel, Friel & Schliewen, 2014",,,Martin Genner,,,,,,,,,,,,
,,,,ERX3627801,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,,,,sp. ‘ruaha redcheek’,Martin Genner,,,,,,,,,,,,
,,,,ERX3627803,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,,,,sp. ‘rufiji blue’,Martin Genner,,,,,,,,,,,,
,,,,EF32658403,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,,,,cf. paludinosus 'redfin',Martin Genner,,,,,,,,,,,,
,,,,EF32658404,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,apleurogramma,,,,Martin Genner,,,,,,,,,,,,
,,,,EF32658402,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Awaous,aeneofuscus,,,,Martin Genner,,,,,,,,,,,,
,,,,EF32658405,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,,,,Martin Genner,,,,,,,,,,,,
,,,,EF32658406,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,,,,Martin Genner,,,,,,,,,,,,
,,,,EF32658400,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Procatopodidae,Lacustricola,kongoranensis,"(Ahl, 1924)",,,Martin Genner,,,,,,,,,,,,
,,,,EF32658407,,,,,,Other material,species,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Chanidae,Chanos,chanos,,,,Martin Genner,,,,,,,,,,,,
,,,,EF32658401,,,,,,Other material,genus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,,,,sp. 'four five spot',Martin Genner,,,,,,,,,,,,
